dt_referencia,nr_ano,nr_mes,desc_nome_mes,desc_nome_mes_curto,nr_dia,desc_dia_semana,desc_dia_semana_curto,nr_dia_semana_iso,desc_ano_mes,desc_trimestre,desc_ano_trimestre,nr_semana_ano,dt_inicio_mes,dt_inicio_semana,nr_dia_semana_visual
2015-03-19,2015,3,Março,Mar,19,Quinta-Feira,Qui,4,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,5
2015-03-20,2015,3,Março,Mar,20,Sexta-Feira,Sex,5,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,6
2015-03-21,2015,3,Março,Mar,21,Sábado,Sab,6,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,7
2015-03-22,2015,3,Março,Mar,22,Domingo,Dom,7,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,1
2015-03-23,2015,3,Março,Mar,23,Segunda-Feira,Seg,1,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,2
2015-03-24,2015,3,Março,Mar,24,Terça-Feira,Ter,2,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,3
2015-03-25,2015,3,Março,Mar,25,Quarta-Feira,Qua,3,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,4
2015-03-26,2015,3,Março,Mar,26,Quinta-Feira,Qui,4,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,5
2015-03-27,2015,3,Março,Mar,27,Sexta-Feira,Sex,5,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,6
2015-03-28,2015,3,Março,Mar,28,Sábado,Sab,6,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,7
2015-03-29,2015,3,Março,Mar,29,Domingo,Dom,7,2015-03,T1,2015-T1,13,2015-03-01,2015-03-23,1
2015-03-30,2015,3,Março,Mar,30,Segunda-Feira,Seg,1,2015-03,T1,2015-T1,14,2015-03-01,2015-03-30,2
2015-03-31,2015,3,Março,Mar,31,Terça-Feira,Ter,2,2015-03,T1,2015-T1,14,2015-03-01,2015-03-30,3
2015-04-01,2015,4,Abril,Abr,1,Quarta-Feira,Qua,3,2015-04,T2,2015-T2,14,2015-04-01,2015-03-30,4
2015-04-02,2015,4,Abril,Abr,2,Quinta-Feira,Qui,4,2015-04,T2,2015-T2,14,2015-04-01,2015-03-30,5
2015-04-03,2015,4,Abril,Abr,3,Sexta-Feira,Sex,5,2015-04,T2,2015-T2,14,2015-04-01,2015-03-30,6
2015-04-04,2015,4,Abril,Abr,4,Sábado,Sab,6,2015-04,T2,2015-T2,14,2015-04-01,2015-03-30,7
2015-04-05,2015,4,Abril,Abr,5,Domingo,Dom,7,2015-04,T2,2015-T2,14,2015-04-01,2015-03-30,1
2015-04-06,2015,4,Abril,Abr,6,Segunda-Feira,Seg,1,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,2
2015-04-07,2015,4,Abril,Abr,7,Terça-Feira,Ter,2,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,3
2015-04-08,2015,4,Abril,Abr,8,Quarta-Feira,Qua,3,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,4
2015-04-09,2015,4,Abril,Abr,9,Quinta-Feira,Qui,4,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,5
2015-04-10,2015,4,Abril,Abr,10,Sexta-Feira,Sex,5,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,6
2015-04-11,2015,4,Abril,Abr,11,Sábado,Sab,6,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,7
2015-04-12,2015,4,Abril,Abr,12,Domingo,Dom,7,2015-04,T2,2015-T2,15,2015-04-01,2015-04-06,1
2015-04-13,2015,4,Abril,Abr,13,Segunda-Feira,Seg,1,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,2
2015-04-14,2015,4,Abril,Abr,14,Terça-Feira,Ter,2,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,3
2015-04-15,2015,4,Abril,Abr,15,Quarta-Feira,Qua,3,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,4
2015-04-16,2015,4,Abril,Abr,16,Quinta-Feira,Qui,4,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,5
2015-04-17,2015,4,Abril,Abr,17,Sexta-Feira,Sex,5,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,6
2015-04-18,2015,4,Abril,Abr,18,Sábado,Sab,6,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,7
